fecha,Kind,Number,variable
2017-01-01,Observed,35.0,calls
2017-01-02,Observed,56.0,calls
2017-01-03,Observed,41.0,calls
2017-01-04,Observed,44.0,calls
2017-01-05,Observed,38.0,calls
2017-01-06,Observed,29.0,calls
2017-01-07,Observed,48.0,calls
2017-01-08,Observed,23.0,calls
2017-01-09,Observed,55.0,calls
2017-01-10,Observed,22.0,calls
2017-01-11,Observed,32.0,calls
2017-01-12,Observed,53.0,calls
2017-01-13,Observed,40.0,calls
2017-01-14,Observed,29.0,calls
2017-01-15,Observed,32.0,calls
2017-01-16,Observed,45.0,calls
2017-01-17,Observed,38.0,calls
2017-01-18,Observed,42.0,calls
2017-01-19,Observed,42.0,calls
2017-01-20,Observed,33.0,calls
2017-01-21,Observed,33.0,calls
2017-01-22,Observed,26.0,calls
2017-01-23,Observed,58.0,calls
2017-01-24,Observed,43.0,calls
2017-01-25,Observed,31.0,calls
2017-01-26,Observed,42.0,calls
2017-01-27,Observed,30.0,calls
2017-01-28,Observed,38.0,calls
2017-01-29,Observed,13.0,calls
2017-01-30,Observed,43.0,calls
2017-01-31,Observed,32.0,calls
2017-02-01,Observed,27.0,calls
2017-02-02,Observed,40.0,calls
2017-02-03,Observed,31.0,calls
2017-02-04,Observed,36.0,calls
2017-02-05,Observed,28.0,calls
2017-02-06,Observed,46.0,calls
2017-02-07,Observed,32.0,calls
2017-02-08,Observed,31.0,calls
2017-02-09,Observed,29.0,calls
2017-02-10,Observed,34.0,calls
2017-02-11,Observed,42.0,calls
2017-02-12,Observed,27.0,calls
2017-02-13,Observed,35.0,calls
2017-02-14,Observed,25.0,calls
2017-02-15,Observed,32.0,calls
2017-02-16,Observed,33.0,calls
2017-02-17,Observed,35.0,calls
2017-02-18,Observed,37.0,calls
2017-02-19,Observed,30.0,calls
2017-02-20,Observed,47.0,calls
2017-02-21,Observed,25.0,calls
2017-02-22,Observed,40.0,calls
2017-02-23,Observed,40.0,calls
2017-02-24,Observed,34.0,calls
2017-02-25,Observed,35.0,calls
2017-02-26,Observed,33.0,calls
2017-02-27,Observed,31.0,calls
2017-02-28,Observed,33.0,calls
2017-03-01,Observed,36.0,calls
2017-03-02,Observed,25.0,calls
2017-03-03,Observed,40.0,calls
2017-03-04,Observed,28.0,calls
2017-03-05,Observed,31.0,calls
2017-03-06,Observed,49.0,calls
2017-03-07,Observed,31.0,calls
2017-03-08,Observed,40.0,calls
2017-03-09,Observed,19.0,calls
2017-03-10,Observed,31.0,calls
2017-03-11,Observed,43.0,calls
2017-03-12,Observed,39.0,calls
2017-03-13,Observed,34.0,calls
2017-03-14,Observed,36.0,calls
2017-03-15,Observed,34.0,calls
2017-03-16,Observed,26.0,calls
2017-03-17,Observed,27.0,calls
2017-03-18,Observed,38.0,calls
2017-03-19,Observed,26.0,calls
2017-03-20,Observed,37.0,calls
2017-03-21,Observed,33.0,calls
2017-03-22,Observed,44.0,calls
2017-03-23,Observed,35.0,calls
2017-03-24,Observed,29.0,calls
2017-03-25,Observed,46.0,calls
2017-03-26,Observed,41.0,calls
2017-03-27,Observed,58.0,calls
2017-03-28,Observed,44.0,calls
2017-03-29,Observed,44.0,calls
2017-03-30,Observed,32.0,calls
2017-03-31,Observed,34.0,calls
2017-04-01,Observed,40.0,calls
2017-04-02,Observed,37.0,calls
2017-04-03,Observed,40.0,calls
2017-04-04,Observed,38.0,calls
2017-04-05,Observed,23.0,calls
2017-04-06,Observed,14.0,calls
2017-04-07,Observed,37.0,calls
2017-04-08,Observed,21.0,calls
2017-04-09,Observed,26.0,calls
2017-04-10,Observed,24.0,calls
2017-04-11,Observed,39.0,calls
2017-04-12,Observed,27.0,calls
2017-04-13,Observed,28.0,calls
2017-04-14,Observed,22.0,calls
2017-04-15,Observed,35.0,calls
2017-04-16,Observed,22.0,calls
